36.25.655;://www.metmuseum.org/art/collection/search/31828
36.25.656a, b;://www.metmuseum.org/art/collection/search/31829
36.25.658;://www.metmuseum.org/art/collection/search/31831
36.25.660;://www.metmuseum.org/art/collection/search/31832
36.25.663;://www.metmuseum.org/art/collection/search/31835
36.25.664;://www.metmuseum.org/art/collection/search/31836
36.25.665;://www.metmuseum.org/art/collection/search/31837
36.25.667;://www.metmuseum.org/art/collection/search/31838
36.25.668a, b;://www.metmuseum.org/art/collection/search/31839
36.25.669;://www.metmuseum.org/art/collection/search/31840
36.25.672a, b;://www.metmuseum.org/art/collection/search/31842
36.25.673a, b;://www.metmuseum.org/art/collection/search/31843
36.25.674;://www.metmuseum.org/art/collection/search/31844
36.25.675;://www.metmuseum.org/art/collection/search/31845
36.25.676;://www.metmuseum.org/art/collection/search/31846
36.25.677a, b;://www.metmuseum.org/art/collection/search/31847
36.25.679;://www.metmuseum.org/art/collection/search/31849
36.25.680;://www.metmuseum.org/art/collection/search/31850
36.25.681a, b;://www.metmuseum.org/art/collection/search/31851
36.25.691a, b;://www.metmuseum.org/art/collection/search/31861
36.25.692a, b;://www.metmuseum.org/art/collection/search/31862
36.25.693;://www.metmuseum.org/art/collection/search/31863
36.25.694;://www.metmuseum.org/art/collection/search/31864
36.25.697a, b;://www.metmuseum.org/art/collection/search/31865
36.25.512a, b;://www.metmuseum.org/art/collection/search/31876
36.25.514a, b;://www.metmuseum.org/art/collection/search/31877
36.25.515a, b;://www.metmuseum.org/art/collection/search/31878
36.25.516a, b;://www.metmuseum.org/art/collection/search/31879
36.25.519;://www.metmuseum.org/art/collection/search/31880
36.25.574;://www.metmuseum.org/art/collection/search/31905
36.25.588;://www.metmuseum.org/art/collection/search/31914
36.25.589;://www.metmuseum.org/art/collection/search/31915
36.25.593;://www.metmuseum.org/art/collection/search/31918
36.25.596;://www.metmuseum.org/art/collection/search/31920
36.25.404;://www.metmuseum.org/art/collection/search/31927
36.25.406;://www.metmuseum.org/art/collection/search/31929
36.25.407;://www.metmuseum.org/art/collection/search/31930
36.25.409a, b;://www.metmuseum.org/art/collection/search/31932
36.25.410;://www.metmuseum.org/art/collection/search/31933
36.25.413;://www.metmuseum.org/art/collection/search/31936
36.25.417;://www.metmuseum.org/art/collection/search/31940
36.25.418;://www.metmuseum.org/art/collection/search/31941
36.25.469;://www.metmuseum.org/art/collection/search/31953
36.25.477;://www.metmuseum.org/art/collection/search/31956
36.25.384;://www.metmuseum.org/art/collection/search/31999
36.25.388;://www.metmuseum.org/art/collection/search/32003
36.25.389;://www.metmuseum.org/art/collection/search/32004
36.25.101;://www.metmuseum.org/art/collection/search/32047
36.25.103;://www.metmuseum.org/art/collection/search/32049
36.25.104;://www.metmuseum.org/art/collection/search/32050
36.25.105;://www.metmuseum.org/art/collection/search/32051
36.25.110;://www.metmuseum.org/art/collection/search/32055
36.25.120;://www.metmuseum.org/art/collection/search/32060
36.25.121;://www.metmuseum.org/art/collection/search/32061
36.25.122;://www.metmuseum.org/art/collection/search/32062
36.25.123;://www.metmuseum.org/art/collection/search/32063
36.25.171;://www.metmuseum.org/art/collection/search/32072
36.25.30;://www.metmuseum.org/art/collection/search/32091
36.25.32a–e;://www.metmuseum.org/art/collection/search/32093
36.25.60a, b;://www.metmuseum.org/art/collection/search/32112
36.25.62;://www.metmuseum.org/art/collection/search/32114
36.25.63a–c;://www.metmuseum.org/art/collection/search/32115
36.25.64a–c;://www.metmuseum.org/art/collection/search/32116
36.25.72;://www.metmuseum.org/art/collection/search/32122
36.25.74;://www.metmuseum.org/art/collection/search/32124
36.25.80;://www.metmuseum.org/art/collection/search/32130
36.25.85;://www.metmuseum.org/art/collection/search/32133
36.25.99;://www.metmuseum.org/art/collection/search/32137
33.28.2;://www.metmuseum.org/art/collection/search/32138
32.75.264;://www.metmuseum.org/art/collection/search/32259
32.75.288;://www.metmuseum.org/art/collection/search/32274
32.75.292;://www.metmuseum.org/art/collection/search/32275
32.75.293;://www.metmuseum.org/art/collection/search/32276
32.75.298a, b;://www.metmuseum.org/art/collection/search/32281
30.140a, b;://www.metmuseum.org/art/collection/search/32367
31.58a, b;://www.metmuseum.org/art/collection/search/32376
26.35.5a, b;://www.metmuseum.org/art/collection/search/32741
26.35.6a, b;://www.metmuseum.org/art/collection/search/32742
22.71.3a–c;://www.metmuseum.org/art/collection/search/32952
15.150.1;://www.metmuseum.org/art/collection/search/33536
29.158.649;://www.metmuseum.org/art/collection/search/34071
29.158.598;://www.metmuseum.org/art/collection/search/34132
2006.442;://www.metmuseum.org/art/collection/search/34186
29.158.50;://www.metmuseum.org/art/collection/search/34279
2008.245;://www.metmuseum.org/art/collection/search/35633
2008.197;://www.metmuseum.org/art/collection/search/35635
2009.469;://www.metmuseum.org/art/collection/search/35674
36.25.18a–d, .22a;://www.metmuseum.org/art/collection/search/35949
2013.582;://www.metmuseum.org/art/collection/search/35957
2015.500.4.12;://www.metmuseum.org/art/collection/search/37397
1986.497.8;://www.metmuseum.org/art/collection/search/37400
1987.142.209;://www.metmuseum.org/art/collection/search/37401
1987.174;://www.metmuseum.org/art/collection/search/37402
2000.284.8;://www.metmuseum.org/art/collection/search/37411
1988.148.1;://www.metmuseum.org/art/collection/search/37412
1979.287;://www.metmuseum.org/art/collection/search/37413
1982.460.3;://www.metmuseum.org/art/collection/search/37531
19.90;://www.metmuseum.org/art/collection/search/37533
1987.142.369;://www.metmuseum.org/art/collection/search/37625
1994.508;://www.metmuseum.org/art/collection/search/37629
33.50.1;://www.metmuseum.org/art/collection/search/37640
2015.500.4.4;://www.metmuseum.org/art/collection/search/37670
1979.509.1;://www.metmuseum.org/art/collection/search/37671
1979.509.2;://www.metmuseum.org/art/collection/search/37672
1987.142.284;://www.metmuseum.org/art/collection/search/37674
1987.142.145a–c;://www.metmuseum.org/art/collection/search/37681
1986.502.4;://www.metmuseum.org/art/collection/search/37682
1986.501.11;://www.metmuseum.org/art/collection/search/37725
1992.359;://www.metmuseum.org/art/collection/search/37788
55.121.38.1;://www.metmuseum.org/art/collection/search/37790
1989.236.3;://www.metmuseum.org/art/collection/search/37811
1989.236.2;://www.metmuseum.org/art/collection/search/37812
1990.23;://www.metmuseum.org/art/collection/search/37815
1984.496.33a;://www.metmuseum.org/art/collection/search/37835
1977.41;://www.metmuseum.org/art/collection/search/37836
1985.398.9;://www.metmuseum.org/art/collection/search/37837
18.104.1;://www.metmuseum.org/art/collection/search/37838
18.104.3;://www.metmuseum.org/art/collection/search/37839
18.104.4;://www.metmuseum.org/art/collection/search/37840
18.104.5;://www.metmuseum.org/art/collection/search/37841
18.104.6;://www.metmuseum.org/art/collection/search/37842
18.104.7;://www.metmuseum.org/art/collection/search/37843
1977.440.7;://www.metmuseum.org/art/collection/search/37844
57.185.4;://www.metmuseum.org/art/collection/search/37845
1972.238;://www.metmuseum.org/art/collection/search/37846
1980.530.2;://www.metmuseum.org/art/collection/search/37847
1982.209;://www.metmuseum.org/art/collection/search/37848
1985.34;://www.metmuseum.org/art/collection/search/37849
1985.398.16;://www.metmuseum.org/art/collection/search/37850
1981.464.1;://www.metmuseum.org/art/collection/search/37851
1981.460.3;://www.metmuseum.org/art/collection/search/37852
1987.424.14;://www.metmuseum.org/art/collection/search/37853
1985.398.11;://www.metmuseum.org/art/collection/search/37854
1975.410.1;://www.metmuseum.org/art/collection/search/37855
57.51.10;://www.metmuseum.org/art/collection/search/37856
58.1.1;://www.metmuseum.org/art/collection/search/37857
58.1.6;://www.metmuseum.org/art/collection/search/37858
58.1.7;://www.metmuseum.org/art/collection/search/37859
58.1.8;://www.metmuseum.org/art/collection/search/37860
1978.535;://www.metmuseum.org/art/collection/search/37861
1977.441;://www.metmuseum.org/art/collection/search/37862
1978.540.2;://www.metmuseum.org/art/collection/search/37863
1974.219;://www.metmuseum.org/art/collection/search/37864
1975.410.3;://www.metmuseum.org/art/collection/search/37865
1977.444.2;://www.metmuseum.org/art/collection/search/37866
1977.444.3;://www.metmuseum.org/art/collection/search/37867
1977.444.4;://www.metmuseum.org/art/collection/search/37868
1978.534.1;://www.metmuseum.org/art/collection/search/37869
1980.526.2;://www.metmuseum.org/art/collection/search/37870
1981.163;://www.metmuseum.org/art/collection/search/37871
53.33;://www.metmuseum.org/art/collection/search/37872
58.1.9;://www.metmuseum.org/art/collection/search/37873
